"LOCATION","Country","VESSEL","Vessel type","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-01","Jan-2019",2100412.09765919,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-02","Feb-2019",2009002.77919947,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-03","Mar-2019",2243471.59715166,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-04","Apr-2019",2159431.39694429,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-05","May-2019",2164844.50620129,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-06","Jun-2019",2104125.05028058,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-07","Jul-2019",2208625.23690158,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-08","Aug-2019",2077589.91580028,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-09","Sep-2019",2020935.8076531,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-10","Oct-2019",2123242.16639036,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-11","Nov-2019",2093888.37021108,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2019-12","Dec-2019",2020211.09084486,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-01","Jan-2020",1936893.10993443,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-02","Feb-2020",1814977.09627352,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-03","Mar-2020",1914996.08020667,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-04","Apr-2020",1590084.59389167,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-05","May-2020",1320759.6645713,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-06","Jun-2020",1310906.02560503,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-07","Jul-2020",1540944.85894643,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-08","Aug-2020",1574836.56651722,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-09","Sep-2020",1667918.07399588,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-10","Oct-2020",1880146.91834369,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-11","Nov-2020",1874001.32901496,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2020-12","Dec-2020",1912537.73807795,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-01","Jan-2021",1856091.393609,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-02","Feb-2021",1766044.66587773,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-03","Mar-2021",1986307.22148852,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-04","Apr-2021",1918659.99885554,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-05","May-2021",1943272.91902681,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-06","Jun-2021",1921352.65497451,,
"WLD","World","VEHICLE","Vehicle","T_CO2E","Tonnes of CO2-equivalent OECD estimation","M","Monthly","2021-07","Jul-2021",1999731.50525075,,
